"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"211","122 DUANE STREET , New York",-74.0069488,40.7158134,"Rent","D5  -ELEVATOR",NA,49.94,"Rent"
"212","122 EAST 13 STREET , New York",-73.9888568,40.7329028,"Rent","D3  -ELEVATOR",NA,42.5976923076923,"Rent"
"213","122 ELIZABETH STREET , New York",-73.9953628,40.7193221,"Rent","R4  -ELEVATOR",NA,54.87,"Rent"
"214","1225 2 AVENUE , New York",-73.9621625,40.7639453,"Rent","R4  -ELEVATOR",NA,43.88,"Rent"
"215","1225 PARK AVENUE , New York",-73.9524912,40.7859283,"Rent","D3  -ELEVATOR",NA,45.42,"Rent"
"216","123 3 AVENUE , New York",-73.9869399,40.7329493,"Rent","R4  -ELEVATOR",NA,54.17,"Rent"
"217","123 BANK STREET , New York",-74.0077485,40.7364117,"Rent","D5  -ELEVATOR",NA,59.32,"Rent"
"218","123 EAST 116 STREET , New York",-73.9420096,40.7990813,"Rent","D3  -ELEVATOR",NA,28.3628571428571,"Rent"
"219","123 EAST 83 STREET , New York",-73.9574046,40.7779485,"Rent","D3  -ELEVATOR",NA,42.2,"Rent"
"220","123 WEST 104 STREET , New York",-73.9650354,40.7986061,"Rent","RR  -CONRENT",NA,30.95,"Rent"
"221","1231 3 AVENUE , New York",-73.960619,40.7690696,"Rent","RR  -CONRENT",NA,71,"Rent"
"222","1235 PARK AVENUE , New York",-73.9524625,40.786184,"Rent","R4  -ELEVATOR",NA,43.63,"Rent"
"223","1239 MADISON AVENUE , New York",-73.956886,40.783029,"Rent","R9  -CONDOPS",NA,42.4,"Rent"
"224","124 8 AVENUE , New York",-74.0012761,40.7411257,"Rent","R4  -ELEVATOR",NA,48.26,"Rent"
"225","124 EAST 24 STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,50.0855555555556,"Rent"
"226","124 EAST 79 STREET , New York",-73.9597006,40.7750345,"Rent","R4  -ELEVATOR",NA,45.13,"Rent"
"227","124 WEST 24 STREET , New York",-73.9937004,40.7439169,"Rent","R4  -ELEVATOR",NA,52.61,"Rent"
"228","124 WEST 93 STREET , New York",-73.9699402,40.7911477,"Rent","R4  -ELEVATOR",NA,46.94,"Rent"
